id,name_mat,id_unit,price_delivery,price_station,price_factory,ghg,code_mat,standard_weight,id_status,id_mat_group
1,ถุงปุ๋ย,1,1,2.5,3,1.031,GG00009,0,1,9
2,สายยาง,1,0.5,2,3,1.031,PT00025,0,1,6
3,ท่อpeดำ,1,3,5,6,0,PT00024,0,1,6
4,ถุงเงินถุงทอง,3,0,0,0,0,PRP00010,0,1,1
5,แผงวงจร,1,8,10,11,4.32,BB00036,0,1,8
6,เสื้อผ้า,1,0.3,0.5,0.6,0,GG00008,0,1,9
7,กระเป๋าเดินทาง 2ล้อ 18นิ้ว,3,0,0,0,0,PRP00009,0,1,1
8,กระเป๋าทรงรอมชอม 16นิ้ว,3,0,0,0,0,PRP00008,0,1,1
9,กระเป๋าช้อปปิ้งโปโล 14นิ้ว,3,0,0,0,0,PRP00007,0,1,1
10,แก้วแดงเนสกาแฟ ของแท้,3,0,0,0,0,PRP00006,0,1,1
11,ร่มกันแดดยูวีเวสท์บาย,9,0,0,0,0,PRP00005,0,1,1
12,เบียร์สิงห์ใหญ่,5,7.2,10,11,0.276,GL00009,5.3,1,7
13,Bโค๊ก(บิด/เหยียบ),1,31.5,50,51,9.127,BB00035,0,1,8
14,Petใส(บิด/เหยียบ),1,11.1,16,17,1.031,PT00023,0,1,6
15,พัดลม 16 นิ้ว,4,0,0,500,0,PRP00004,0,2,1
16,จักรยานเสือภูเขา,9,0,0,2000,0,PRP00003,0,2,1
17,กระเป๋าผ้ารักโลก,3,0,0,20,0,PRP00002,0,2,1
18,แก้วเก็บอุณหภูมิ,3,0,0,50,0,PRP00001,0,2,1
19,จอทีวีนูน21นิ้ว ขึ้นไป,4,30,50,60,4.391,GG00007,0,1,9
20,จอทีวีนูน14นิ้ว,4,20,30,40,4.391,GG00006,0,1,9
21,อลูมิเนียมกะทะผัด,1,0,44,45,9.127,BB00034,0,1,8
22,หม้อน้ำใส้ทองเหลือง,1,135,145,146,4.391,BB00033,0,1,8
23,ถุงฟิมส์,1,7,10,11,1.031,PT00022,0,1,6
24,อัลลอย,1,23.9,40,41,4.391,BB00032,0,1,8
25,ตะกั่วติดเหล็ก,1,0,21,22,4.391,BB00031,0,1,8
26,สแตนเลสติดเหล็ก,1,7,10,11,4.391,BB00030,0,1,8
27,สแตนเลส2,1,0,13,14,4.391,BB00029,0,1,8
28,ทองเหลืองบาง,1,118.9,148,149,4.391,BB00028,0,1,8
29,อลูมิเนียมแผ่นเพลท,1,0,58,59,9.127,BB00027,0,1,8
30,หม้อน้ำใส้ทองแดง,1,120,120,121,4.391,BB00026,0,1,8
31,น้ำมันเครื่อง,1,1,3,4,0,OO00003,0,1,5
32,ถุงรวมสะอาด,1,7,9,10,1.031,PT00021,0,2,6
33,ถุงpe,1,0,10,11,1.031,PT00020,0,1,6
34,สายรัด,1,1,1.5,1.6,1.031,PT00019,0,1,6
35,พลาสติกกรอบยาคู่ลย์,1,2,3,4,1.031,PT00018,0,1,6
36,ยางรถยนต์,1,0.5,0.8,0.9,1.031,GG00005,0,1,9
37,ท่อpvcเหลือง,1,1.6,1.8,1.9,1.031,PT00017,0,1,6
38,เครื่องซักผ้า,4,100,150,160,1.031,GG00004,0,1,9
39,ของแกะแอร์คอยร้อน/เย็น,1,15,18,19,4.391,BB00025,0,1,8
40,กระดาษทำลาย/รอคัด,1,0,5.5,6.5,3.546,PP00008,0,1,10
41,กระป๋องสังกะสี,1,3.2,4.1,5.1,0,ST00007,0,2,11
42,เหล็กบาง/เหล็กถัง200Lit/ลวดสลิง/ผ้าเบรค,1,0,4.5,5.5,1.832,ST00011,0,1,11
43,เหล็กย่อย,1,4.2,5.3,6.3,1.832,ST00010,0,1,11
44,เหล็กยาว,1,0,6,7,1.832,ST00009,0,1,11
45,เหล็กหนาสั้น + เหล็กเครื่อง,1,0,7,8,1.832,ST00008,0,1,11
46,เหล็กหล่อ,1,0,6,7,1.87,ST00006,0,1,11
47,เหล้าขาวเล็ก,5,10.9,12,13,0.276,GL00008,7.5,1,7
48,เหล้าขาวใหญ่,5,7.2,9,10,0.276,GL00007,5,1,7
49,เบียร์ช้างใหญ่ (แบบใหม่),5,9.4,12,13,0.276,GL00006,5.9,1,7
50,เบียร์ลีโอ ,5,7.9,10,11,0.276,GL00005,5,1,7
51,แก้วรวม,1,0.4,0.5,0.6,0.276,GL00004,0,1,7
52,แก้วเขียว,1,0.9,1.3,1.5,0.276,GL00003,0,1,7
53,แก้วขาว,1,1,1.4,1.6,0.276,GL00002,0,1,7
54,แก้วแดง,1,0.6,1,1.2,0.276,GL00001,0,1,7
55,แบตเล็ก,1,17.1,27.7,28.7,4.391,BB00024,0,1,8
56,แบตดำใหญ่,1,15,24.2,25.2,4.391,BB00023,0,1,8
57,แบตขาว,1,19,30.75,31.75,4.391,BB00022,0,1,8
58,ของแกะ / คอมแอร์ / มอเตอร์  ,1,7.1,8.5,9.5,4.391,BB00021,0,1,8
59,สแตนเลส1,1,20.3,33,34,4.391,BB00020,0,1,8
60,ตะกั่วอ่อน,1,29.3,48,49,4.391,BB00019,0,1,8
61,ตะกั่วแข็ง,1,29.9,49,50,4.391,BB00018,0,1,8
62,หม้อน้ำใส้อลูมิเนียม,1,26.9,44,45,4.391,BB00017,0,1,8
63,อลูมิเนียมล้อแม็กรถยนต์,1,41.3,68,69,9.127,BB00016,0,1,8
64,อลูมิเนียมฝาจุกแกะ (M100),1,23.9,39,40,9.127,BB00015,0,1,8
